number,stpost,state,fip,year,id,V Mean,V.sd,V.lo,V.up,V Median,S,eg,eg.sd,eg.lo,eg.up,abs_eg,avg_eg,lag_eg,mcg_eg,bias,mmd,unc,majwin,dwin,plan,plancode,planelections,n,wrongwin,popdeviation,firstelection,commission,court,unified,divided,unified_dem,unified_rep,non-unified,pop_black,pop_hisp,seats_black,seats_hisp,urbanization,control
1,AL,Alabama,1,1974,AL1974,0.756,1.2,73.2,78.0,0.754,1.000,-0.012,0.024,-0.061,0.035,0.012,0.013,,0.102,-0.052,-0.002,74,105,105,1,AL1,2,105,,,1,0,1,0,0,0,0,1,0.259,0.006,0.124,0.000,0.592,0
2,AL,Alabama,1,1978,AL1978,0.713,1.3,68.7,73.9,0.719,0.962,0.037,0.027,-0.016,0.088,0.037,0.013,-0.012,0.158,0.167,0.006,71,105,101,1,AL1,2,105,,,0,0,1,0,0,0,0,1,0.255,0.008,0.124,0.000,0.597,0
3,AL,Alabama,1,1982,AL1982,0.697,1.3,67.3,72.4,0.719,0.924,0.029,0.025,-0.025,0.078,0.029,0.029,0.037,0.064,0.148,0.022,71,105,97,1.1,AL1.1,1,105,,,1,0,0,1,0,1,0,0,0.253,0.008,0.143,0.000,0.594,1
4,AL,Alabama,1,1986,AL1986,0.621,0.8,60.6,64.0,0.669,0.848,0.105,0.017,0.067,0.136,0.105,0.074,0.029,0.119,0.214,0.047,59,105,89,2,AL2,2,105,,,1,0,0,1,0,1,0,0,0.252,0.007,0.181,0.000,0.581,1
5,AL,Alabama,1,1990,AL1990,0.643,1.0,62.4,66.2,0.690,0.829,0.042,0.019,0.005,0.080,0.042,0.074,0.105,0.069,0.176,0.046,57,105,87,2,AL2,2,105,,,0,0,0,1,0,1,0,0,0.252,0.006,0.181,0.000,0.568,1
6,AL,Alabama,1,1994,AL1994,0.560,1.1,54.0,58.1,0.597,0.705,0.085,0.021,0.043,0.124,0.085,0.042,0.042,0.103,0.157,0.037,56,105,74,3,AL3,2,105,,,1,0,1,0,0,0,0,1,0.255,0.010,0.257,0.000,0.562,0
7,AL,Alabama,1,1998,AL1998,0.579,0.9,56.1,59.6,0.607,0.657,-0.001,0.018,-0.035,0.034,0.001,0.042,0.085,0.052,0.052,0.028,50,105,69,3,AL3,2,105,,,0,0,1,0,0,0,0,1,0.258,0.015,0.257,0.000,0.557,0
8,AL,Alabama,1,2002,AL2002,0.544,1.2,51.9,56.6,0.607,0.610,0.022,0.024,-0.023,0.071,0.022,-0.016,-0.001,0.039,0.081,0.063,53,105,64,4,AL4,3,105,,,1,0,0,1,0,1,0,0,0.259,0.021,0.257,0.000,0.561,1
9,AL,Alabama,1,2006,AL2006,0.556,1.1,53.6,57.6,0.611,0.590,-0.021,0.021,-0.062,0.019,0.021,-0.016,0.022,0.014,0.052,0.056,61,105,62,4,AL4,3,105,,,0,0,0,1,0,1,0,0,0.260,0.030,0.248,0.000,0.576,1
10,AL,Alabama,1,2010,AL2010,0.480,1.6,44.9,51.0,0.441,0.410,-0.050,0.031,-0.110,0.011,0.050,-0.016,-0.021,-0.036,-0.052,-0.039,63,105,43,4,AL4,3,105,,,0,0,0,1,0,1,0,0,0.260,0.039,0.248,0.000,0.590,1
11,AK,Alaska,2,1992,AK1992,0.503,0.5,49.3,51.4,0.502,0.526,0.020,0.011,-0.001,0.040,0.020,-0.019,,-0.018,-0.026,-0.001,9,38,20,3,AK3,5,40,,,1,0,1,0,0,0,0,1,0.039,0.034,0.025,0.000,0.619,0
12,AK,Alaska,2,1994,AK1994,0.480,0.6,46.9,49.1,0.470,0.421,-0.039,0.011,-0.061,-0.017,0.039,-0.019,0.020,-0.019,-0.053,-0.010,11,38,16,3,AK3,5,40,,,0,0,1,0,0,0,0,1,0.038,0.036,0.025,0.000,0.628,0
13,AK,Alaska,2,1996,AK1996,0.435,0.4,42.8,44.5,0.451,0.375,0.004,0.009,-0.015,0.020,0.004,-0.019,-0.039,-0.008,0.000,0.016,6,40,15,3,AK3,5,40,,,0,0,1,0,0,0,0,1,0.036,0.037,0.000,0.000,0.638,0
14,AK,Alaska,2,1998,AK1998,0.457,1.0,43.9,47.8,0.444,0.375,-0.040,0.020,-0.081,-0.003,0.040,-0.019,0.004,-0.012,-0.025,-0.013,16,40,15,3,AK3,5,40,,,0,0,1,0,0,0,0,1,0.035,0.039,0.000,0.000,0.647,0
15,AK,Alaska,2,2000,AK2000,0.433,1.1,41.2,45.3,0.380,0.325,-0.041,0.021,-0.082,0.002,0.041,-0.019,-0.040,-0.080,-0.075,-0.053,17,40,13,3,AK3,5,40,,,0,0,1,0,0,0,0,1,0.034,0.041,0.000,0.000,0.656,0
16,AK,Alaska,2,2002,AK2002,0.411,1.8,37.5,44.8,0.403,0.325,0.004,0.036,-0.070,0.075,0.004,-0.010,-0.041,-0.033,-0.025,-0.008,22,40,13,4,AK4,5,40,,,1,1,0,0,0,0,0,1,0.033,0.044,0.000,0.000,0.657,0
17,AK,Alaska,2,2004,AK2004,0.450,0.6,43.8,46.1,0.419,0.350,-0.050,0.012,-0.073,-0.026,0.050,-0.010,0.004,-0.068,-0.050,-0.030,11,40,14,4,AK4,5,40,,,0,1,0,0,0,0,0,1,0.033,0.047,0.000,0.000,0.658,0
18,AK,Alaska,2,2006,AK2006,0.480,1.1,45.8,50.2,0.442,0.425,-0.035,0.022,-0.079,0.008,0.035,-0.010,-0.050,-0.033,-0.050,-0.038,14,40,17,4,AK4,5,40,,,0,1,0,0,0,0,0,1,0.032,0.049,0.000,0.000,0.658,0
19,AK,Alaska,2,2008,AK2008,0.466,0.9,45.0,48.5,0.474,0.450,0.018,0.018,-0.019,0.050,0.018,-0.010,-0.035,0.038,0.025,0.007,9,40,18,4,AK4,5,40,,,0,1,0,0,0,0,0,1,0.032,0.052,0.000,0.000,0.659,0
20,AK,Alaska,2,2010,AK2010,0.444,1.4,41.9,47.3,0.394,0.400,0.011,0.028,-0.046,0.062,0.011,-0.010,0.018,0.055,-0.100,-0.050,17,40,16,4,AK4,5,40,,,0,1,0,0,0,0,0,1,0.031,0.055,0.000,0.000,0.660,0
21,AK,Alaska,2,2012,AK2012,0.421,0.8,40.5,43.7,0.398,0.375,0.033,0.017,0.001,0.065,0.033,0.033,0.011,-0.024,0.000,-0.023,14,40,15,5,AK5,1,40,,0.090,1,1,0,0,0,0,0,1,0.030,0.058,0.000,0.000,0.661,0
22,AK,Alaska,2,2014,AK2014,0.432,0.6,42.0,44.5,0.433,0.410,0.047,0.013,0.020,0.070,0.047,0.047,0.033,,0.013,0.002,13,39,16,5.1,AK5.1,1,40,,,1,1,0,0,0,0,0,1,0.030,0.061,0.000,0.025,0.662,0
23,AR,Arkansas,5,1992,AR1992,0.616,1.1,59.5,63.8,0.636,0.899,0.167,0.023,0.123,0.208,0.167,0.113,,,0.207,0.021,74,99,89,3,AR3,5,100,,,1,0,0,1,0,1,0,0,0.158,0.014,0.100,0.000,0.521,1
24,AR,Arkansas,5,1994,AR1994,0.598,0.8,58.4,61.5,0.616,0.880,0.183,0.016,0.149,0.213,0.183,0.113,0.167,,0.190,0.017,67,100,88,3,AR3,5,100,,,0,0,0,1,0,1,0,0,0.158,0.019,0.100,0.000,0.522,1
25,AR,Arkansas,5,1996,AR1996,0.609,0.9,59.1,62.7,0.635,0.870,0.151,0.018,0.116,0.187,0.151,0.113,0.183,,0.150,0.026,68,100,87,3,AR3,5,100,,,0,0,0,1,0,1,0,0,0.157,0.023,0.100,0.000,0.523,1
26,AR,Arkansas,5,1998,AR1998,0.605,0.8,58.9,62.0,0.638,0.760,0.051,0.016,0.021,0.082,0.051,0.113,0.151,,0.110,0.034,55,100,76,3,AR3,5,100,,,0,0,0,1,0,1,0,0,0.157,0.028,0.120,0.000,0.524,1
27,AR,Arkansas,5,2000,AR2000,0.591,1.0,57.1,61.1,0.637,0.697,0.015,0.020,-0.025,0.055,0.015,0.113,0.051,,0.126,0.046,67,99,69,3,AR3,5,100,,,0,0,0,1,0,1,0,0,0.156,0.033,0.120,0.000,0.525,1
28,AR,Arkansas,5,2002,AR2002,0.577,1.3,55.2,60.4,0.612,0.700,0.046,0.026,-0.008,0.095,0.046,0.067,0.015,,0.090,0.035,67,100,70,4,AR4,5,100,,,1,0,0,1,0,0,1,0,0.155,0.039,0.130,0.000,0.532,-1
29,AR,Arkansas,5,2004,AR2004,0.554,1.5,52.5,58.3,0.571,0.717,0.109,0.030,0.051,0.166,0.109,0.067,0.046,,0.056,0.017,73,99,71,4,AR4,5,100,,,0,0,0,1,0,0,1,0,0.155,0.045,0.120,0.000,0.540,-1
30,AR,Arkansas,5,2006,AR2006,0.592,1.7,56.1,62.5,0.624,0.750,0.066,0.033,0.001,0.128,0.066,0.067,0.109,,0.110,0.032,71,100,75,4,AR4,5,100,,,0,0,0,1,0,0,1,0,0.154,0.052,0.110,0.000,0.547,-1
31,AR,Arkansas,5,2008,AR2008,0.584,1.9,54.8,62.3,0.611,0.717,0.050,0.039,-0.028,0.122,0.050,0.067,0.066,,0.086,0.027,78,99,71,4,AR4,5,100,,,0,0,0,1,0,0,1,0,0.154,0.058,0.100,0.000,0.555,-1
32,AR,Arkansas,5,2010,AR2010,0.494,2.2,45.3,53.8,0.544,0.550,0.063,0.045,-0.027,0.144,0.063,0.067,0.050,,0.060,0.050,69,100,55,4,AR4,5,100,Y,,0,0,0,1,0,0,1,0,0.153,0.064,0.090,0.000,0.562,-1
33,AR,Arkansas,5,2012,AR2012,0.484,1.0,46.5,50.4,0.487,0.490,0.022,0.020,-0.019,0.061,0.022,-0.003,0.063,,0.000,0.003,52,100,49,5,AR5,2,100,,0.084,1,0,0,1,0,1,0,0,0.152,0.070,0.110,0.000,0.569,1
34,AR,Arkansas,5,2014,AR2014,0.443,1.1,42.3,47.0,0.427,0.360,-0.027,0.022,-0.079,0.014,0.027,-0.003,0.022,,-0.060,-0.016,66,100,36,5,AR5,2,100,,,0,0,0,1,0,1,0,0,0.152,0.076,0.110,0.000,0.577,1
35,CA,California,6,1972,CA1972,0.554,0.2,55.1,55.8,0.582,0.633,0.024,0.003,0.017,0.030,0.024,0.024,,,0.032,0.027,4,79,50,0.1,CA0.1,1,80,,,1,0,0,1,0,1,0,0,0.071,0.163,0.075,0.063,0.910,1
36,CA,California,6,1974,CA1974,0.583,0.1,58.1,58.6,0.614,0.688,0.021,0.002,0.016,0.026,0.021,0.025,0.024,0.021,0.050,0.031,2,80,55,1,CA1,4,80,,,1,0,1,0,0,0,0,1,0.072,0.170,0.075,0.063,0.911,0
37,CA,California,6,1976,CA1976,0.589,0.2,58.6,59.3,0.610,0.718,0.040,0.004,0.032,0.047,0.040,0.025,0.021,0.044,0.038,0.021,7,78,56,1,CA1,4,80,,,0,0,1,0,0,0,0,1,0.073,0.177,0.075,0.075,0.911,0
38,CA,California,6,1978,CA1978,0.555,0.2,55.1,55.9,0.592,0.625,0.015,0.004,0.007,0.023,0.015,0.025,0.040,0.016,0.075,0.037,7,80,50,1,CA1,4,80,,,0,0,1,0,0,0,0,1,0.074,0.185,0.075,0.050,0.912,0
39,CA,California,6,1980,CA1980,0.541,0.3,53.5,54.7,0.562,0.608,0.025,0.006,0.013,0.037,0.025,0.025,0.015,0.031,0.044,0.020,8,79,48,1,CA1,4,80,,,0,0,1,0,0,0,0,1,0.075,0.192,0.075,0.050,0.913,0
40,CA,California,6,1982,CA1982,0.549,0.3,54.4,55.5,0.569,0.603,0.004,0.006,-0.007,0.015,0.004,0.004,0.025,0.001,0.026,0.019,10,78,47,1.1,CA1.1,1,80,,,1,0,0,1,0,1,0,0,0.074,0.205,0.075,0.050,0.918,1
41,CA,California,6,1984,CA1984,0.521,0.2,51.7,52.5,0.573,0.582,0.040,0.004,0.031,0.048,0.040,0.002,0.004,0.049,0.057,0.051,12,79,46,2,CA2,4,80,,,1,0,0,1,0,1,0,0,0.073,0.218,0.075,0.050,0.923,1
42,CA,California,6,1986,CA1986,0.537,0.1,53.5,53.8,0.585,0.550,-0.023,0.002,-0.027,-0.020,0.023,0.002,0.040,-0.024,0.038,0.048,3,80,44,2,CA2,4,80,,,0,0,0,1,0,1,0,0,0.072,0.232,0.075,0.050,0.927,1
43,CA,California,6,1988,CA1988,0.540,0.2,53.7,54.3,0.575,0.588,0.008,0.003,0.002,0.014,0.008,0.002,-0.023,0.014,0.025,0.035,7,80,47,2,CA2,4,80,,,0,0,0,1,0,1,0,0,0.071,0.245,0.088,0.050,0.932,1
44,CA,California,6,1990,CA1990,0.559,0.3,55.3,56.5,0.595,0.600,-0.017,0.006,-0.030,-0.006,0.017,0.002,0.008,-0.013,0.038,0.037,12,80,48,2,CA2,4,80,,,0,0,0,1,0,1,0,0,0.070,0.258,0.088,0.050,0.937,1
45,CA,California,6,1992,CA1992,0.559,0.2,55.6,56.3,0.575,0.600,-0.018,0.003,-0.025,-0.012,0.018,-0.041,-0.017,-0.022,0.038,0.016,6,80,48,3,CA3,5,80,,,1,0,1,0,0,0,0,1,0.069,0.271,0.088,0.088,0.938,0
46,CA,California,6,1994,CA1994,0.512,0.1,50.9,51.4,0.498,0.488,-0.036,0.003,-0.041,-0.031,0.036,-0.041,-0.018,-0.040,-0.025,-0.014,4,80,39,3,CA3,5,80,Y,,0,0,1,0,0,0,0,1,0.068,0.284,0.088,0.125,0.940,0
47,CA,California,6,1996,CA1996,0.543,0.2,54.0,54.6,0.513,0.538,-0.049,0.003,-0.055,-0.042,0.049,-0.041,-0.036,-0.038,-0.025,-0.030,7,80,43,3,CA3,5,80,,,0,0,1,0,0,0,0,1,0.066,0.298,0.050,0.175,0.941,0
48,CA,California,6,1998,CA1998,0.578,0.2,57.5,58.1,0.587,0.600,-0.057,0.003,-0.063,-0.050,0.057,-0.041,-0.049,-0.051,0.013,0.009,7,80,48,3,CA3,5,80,,,0,0,1,0,0,0,0,1,0.065,0.311,0.050,0.213,0.943,0
49,CA,California,6,2000,CA2000,0.585,0.1,58.3,58.7,0.632,0.625,-0.046,0.002,-0.050,-0.042,0.046,-0.041,-0.057,-0.041,0.075,0.047,3,80,50,3,CA3,5,80,,,0,0,1,0,0,0,0,1,0.064,0.324,0.050,0.250,0.944,0
50,CA,California,6,2002,CA2002,0.557,0.1,55.4,56.0,0.611,0.600,-0.014,0.003,-0.019,-0.008,0.014,-0.033,-0.046,-0.014,0.075,0.054,8,80,48,4,CA4,5,80,,,1,0,0,1,0,1,0,0,0.063,0.334,0.050,0.225,0.946,1
51,CA,California,6,2004,CA2004,0.559,0.1,55.6,56.1,0.591,0.600,-0.018,0.003,-0.023,-0.012,0.018,-0.033,-0.014,-0.018,0.038,0.032,6,80,48,4,CA4,5,80,,,0,0,0,1,0,1,0,0,0.062,0.345,0.050,0.238,0.947,1
52,CA,California,6,2006,CA2006,0.570,0.1,56.8,57.3,0.628,0.600,-0.041,0.003,-0.046,-0.036,0.041,-0.033,-0.018,-0.047,0.088,0.057,7,80,48,4,CA4,5,80,,,0,0,0,1,0,1,0,0,0.060,0.355,0.088,0.225,0.949,1
53,CA,California,6,2008,CA2008,0.613,0.1,61.1,61.6,0.663,0.638,-0.089,0.002,-0.094,-0.084,0.089,-0.033,-0.041,-0.086,0.075,0.049,8,80,51,4,CA4,5,80,,,0,0,0,1,0,1,0,0,0.059,0.366,0.075,0.213,0.950,1
54,CA,California,6,2010,CA2010,0.577,0.1,57.4,57.9,0.609,0.650,-0.004,0.002,-0.008,0.001,0.004,-0.033,-0.089,0.002,0.075,0.032,6,80,52,4,CA4,5,80,,,0,0,0,1,0,1,0,0,0.058,0.376,0.075,0.188,0.952,1
55,CA,California,6,2012,CA2012,0.597,0.2,59.3,60.1,0.618,0.688,-0.007,0.005,-0.015,0.002,0.007,0.013,-0.004,0.033,0.050,0.021,22,80,55,5,CA5,2,80,,0.004,1,1,0,0,0,0,0,1,0.057,0.386,0.088,0.238,0.954,0
56,CA,California,6,2014,CA2014,0.559,0.2,55.4,56.3,0.588,0.650,0.032,0.004,0.024,0.042,0.032,0.013,-0.007,,0.075,0.029,19,80,52,5,CA5,2,80,,,0,1,0,0,0,0,0,1,0.056,0.397,0.113,0.225,0.955,0
57,CO,Colorado,8,1972,CO1972,0.479,0.3,47.4,48.4,0.482,0.431,-0.027,0.006,-0.038,-0.016,0.027,-0.041,,-0.040,0.008,0.003,11,65,28,1,CO1,5,65,,,1,0,0,1,0,0,1,0,0.031,0.127,0.046,0.046,0.789,-1
58,CO,Colorado,8,1974,CO1974,0.559,0.2,55.4,56.4,0.530,0.600,-0.018,0.005,-0.028,-0.009,0.018,-0.041,-0.027,-0.004,-0.054,-0.030,7,65,39,1,CO1,5,65,,,0,0,0,1,0,0,1,0,0.032,0.125,0.031,0.046,0.793,-1
59,CO,Colorado,8,1976,CO1976,0.506,0.4,50.0,51.4,0.475,0.462,-0.051,0.007,-0.066,-0.038,0.051,-0.041,-0.018,-0.057,-0.054,-0.031,12,65,30,1,CO1,5,65,Y,,0,0,0,1,0,0,1,0,0.033,0.123,0.031,0.062,0.798,-1
60,CO,Colorado,8,1978,CO1978,0.499,0.5,48.8,50.8,0.445,0.431,-0.067,0.010,-0.086,-0.046,0.067,-0.041,-0.051,-0.068,-0.085,-0.054,19,65,28,1,CO1,5,65,,,0,0,0,1,0,0,1,0,0.034,0.120,0.031,0.062,0.802,-1
61,CO,Colorado,8,1980,CO1980,0.472,0.5,46.2,48.3,0.459,0.400,-0.043,0.011,-0.065,-0.023,0.043,-0.041,-0.067,-0.022,-0.023,-0.012,17,65,26,1,CO1,5,65,,,0,0,0,1,0,0,1,0,0.035,0.118,0.031,0.077,0.806,-1
62,CO,Colorado,8,1982,CO1982,0.475,0.4,46.6,48.3,0.443,0.385,-0.065,0.009,-0.082,-0.047,0.065,-0.075,-0.043,-0.067,-0.054,-0.031,20,65,25,2,CO2,5,65,,,1,1,0,0,0,0,0,1,0.036,0.120,0.031,0.062,0.812,0
63,CO,Colorado,8,1984,CO1984,0.447,0.5,43.6,45.6,0.403,0.277,-0.117,0.010,-0.136,-0.095,0.117,-0.075,-0.065,-0.111,-0.115,-0.044,23,65,18,2,CO2,5,65,,,0,1,0,0,0,0,0,1,0.037,0.122,0.031,0.077,0.819,0
64,CO,Colorado,8,1986,CO1986,0.472,0.5,46.3,48.1,0.428,0.385,-0.059,0.009,-0.077,-0.042,0.059,-0.075,-0.117,-0.040,-0.069,-0.044,17,65,25,2,CO2,5,65,,,0,1,0,0,0,0,0,1,0.037,0.125,0.046,0.077,0.825,0
65,CO,Colorado,8,1988,CO1988,0.477,0.5,46.7,48.7,0.444,0.400,-0.055,0.010,-0.074,-0.034,0.055,-0.075,-0.059,-0.063,-0.054,-0.034,19,65,26,2,CO2,5,65,,,0,1,0,0,0,0,0,1,0.038,0.127,0.046,0.108,0.832,0
66,CO,Colorado,8,1990,CO1990,0.490,0.6,47.8,50.1,0.463,0.400,-0.080,0.012,-0.102,-0.055,0.080,-0.075,-0.055,-0.079,-0.085,-0.027,16,65,26,2,CO2,5,65,,,0,1,0,0,0,0,0,1,0.039,0.129,0.046,0.092,0.838,0
67,CO,Colorado,8,1992,CO1992,0.504,0.3,49.7,51.0,0.496,0.477,-0.031,0.007,-0.044,-0.017,0.031,-0.041,-0.080,-0.029,-0.023,-0.008,11,65,31,3,CO3,5,65,Y,,1,1,0,0,0,0,0,1,0.039,0.137,0.046,0.092,0.839,0
68,CO,Colorado,8,1994,CO1994,0.439,0.4,43.2,44.6,0.438,0.369,-0.008,0.007,-0.023,0.006,0.008,-0.041,-0.031,-0.036,-0.008,-0.001,13,65,24,3,CO3,5,65,,,0,1,0,0,0,0,0,1,0.038,0.146,0.031,0.077,0.841,0
69,CO,Colorado,8,1996,CO1996,0.459,0.5,45.0,46.9,0.442,0.369,-0.049,0.010,-0.068,-0.031,0.049,-0.041,-0.008,-0.072,-0.023,-0.017,19,65,24,3,CO3,5,65,,,0,1,0,0,0,0,0,1,0.038,0.154,0.031,0.092,0.842,0
70,CO,Colorado,8,1998,CO1998,0.471,0.3,46.4,47.8,0.444,0.385,-0.058,0.007,-0.070,-0.044,0.058,-0.041,-0.049,-0.064,-0.085,-0.027,16,65,25,3,CO3,5,65,,,0,1,0,0,0,0,0,1,0.037,0.163,0.031,0.123,0.844,0
71,CO,Colorado,8,2000,CO2000,0.486,0.4,47.8,49.5,0.476,0.415,-0.057,0.009,-0.075,-0.040,0.057,-0.041,-0.058,-0.071,-0.023,-0.010,21,65,27,3,CO3,5,65,,,0,1,0,0,0,0,0,1,0.037,0.171,0.031,0.123,0.845,0
72,CO,Colorado,8,2002,CO2002,0.474,0.4,46.6,48.2,0.477,0.431,-0.018,0.008,-0.033,-0.002,0.018,0.008,-0.057,-0.028,0.023,0.003,20,65,28,4,CO4,5,65,,,1,1,0,0,0,0,0,1,0.037,0.178,0.046,0.092,0.848,0
73,CO,Colorado,8,2004,CO2004,0.512,0.3,50.5,51.8,0.517,0.538,0.015,0.007,0.002,0.028,0.015,0.008,-0.018,0.022,0.008,0.006,16,65,35,4,CO4,5,65,,,0,1,0,0,0,0,0,1,0.037,0.185,0.046,0.077,0.852,0
74,CO,Colorado,8,2006,CO2006,0.544,0.4,53.6,55.2,0.547,0.600,0.012,0.008,-0.004,0.027,0.012,0.008,0.015,0.013,0.023,0.003,15,65,39,4,CO4,5,65,,,0,1,0,0,0,0,0,1,0.038,0.193,0.031,0.062,0.855,0
75,CO,Colorado,8,2008,CO2008,0.538,0.2,53.5,54.1,0.565,0.585,0.008,0.003,0.002,0.015,0.008,0.008,0.012,0.008,0.038,0.027,9,65,38,4,CO4,5,65,,,0,1,0,0,0,0,0,1,0.038,0.200,0.015,0.031,0.859,0
76,CO,Colorado,8,2010,CO2010,0.485,0.2,48.0,49.0,0.496,0.492,0.023,0.005,0.013,0.032,0.023,0.008,0.008,0.030,0.038,0.012,12,65,32,4,CO4,5,65,,,0,1,0,0,0,0,0,1,0.038,0.207,0.031,0.077,0.862,0
77,CO,Colorado,8,2012,CO2012,0.522,0.1,51.9,52.5,0.543,0.569,0.025,0.003,0.020,0.031,0.025,0.042,0.023,0.016,0.054,0.021,10,65,37,5,CO5,2,65,,0.050,1,1,0,0,0,0,0,1,0.038,0.214,0.077,0.123,0.865,0
78,CO,Colorado,8,2014,CO2014,0.483,0.2,47.9,48.7,0.507,0.523,0.058,0.004,0.050,0.066,0.058,0.042,0.025,,0.069,0.025,14,65,34,5,CO5,2,65,Y,,0,1,0,0,0,0,0,1,0.038,0.221,0.062,0.108,0.869,0
79,CT,Connecticut,9,1972,CT1972,0.484,0.0,48.4,48.5,0.460,0.384,-0.085,0.001,-0.087,-0.083,0.085,0.022,,-0.079,-0.089,-0.025,2,151,58,1,CT1,5,151,,,1,1,0,0,0,0,0,1,0.062,0.027,0.033,0.000,0.785,0
80,CT,Connecticut,9,1974,CT1974,0.597,0.0,59.7,59.8,0.594,0.781,0.087,0.001,0.086,0.088,0.087,0.022,-0.085,0.096,-0.023,-0.003,1,151,118,1,CT1,5,151,,,0,1,0,0,0,0,0,1,0.064,0.031,0.026,0.000,0.786,0
81,CT,Connecticut,9,1976,CT1976,0.534,0.1,53.3,53.6,0.536,0.616,0.047,0.002,0.043,0.051,0.047,0.022,0.087,0.052,0.010,0.002,6,151,93,1,CT1,5,151,,,0,1,0,0,0,0,0,1,0.065,0.034,0.033,0.000,0.786,0
82,CT,Connecticut,9,1978,CT1978,0.571,0.1,56.8,57.4,0.592,0.682,0.040,0.003,0.035,0.046,0.040,0.022,0.047,0.054,0.063,0.021,8,151,103,1,CT1,5,151,,,0,1,0,0,0,0,0,1,0.067,0.037,0.033,0.000,0.787,0
83,CT,Connecticut,9,1980,CT1980,0.515,0.2,51.0,51.9,0.520,0.550,0.020,0.005,0.011,0.029,0.020,0.022,0.040,0.023,0.010,0.005,16,151,83,1,CT1,5,151,,,0,1,0,0,0,0,0,1,0.069,0.040,0.046,0.000,0.788,0
84,CT,Connecticut,9,1982,CT1982,0.546,0.1,54.3,54.8,0.547,0.583,-0.009,0.003,-0.014,-0.003,0.009,0.002,0.020,-0.005,0.010,0.001,13,151,88,2,CT2,5,151,,,1,0,0,1,0,1,0,0,0.071,0.045,0.046,0.007,0.804,1
85,CT,Connecticut,9,1984,CT1984,0.469,0.1,46.7,47.1,0.488,0.437,-0.001,0.002,-0.005,0.004,0.001,0.002,-0.009,-0.004,0.023,0.019,15,151,66,2,CT2,5,151,,,0,0,0,1,0,1,0,0,0.073,0.050,0.046,0.007,0.821,1
86,CT,Connecticut,9,1986,CT1986,0.560,0.2,55.6,56.4,0.553,0.609,-0.011,0.004,-0.018,-0.004,0.011,0.002,-0.001,0.005,-0.010,-0.007,23,151,92,2,CT2,5,151,,,0,0,0,1,0,1,0,0,0.075,0.055,0.046,0.007,0.837,1
87,CT,Connecticut,9,1988,CT1988,0.541,0.2,53.6,54.5,0.556,0.583,0.001,0.004,-0.007,0.010,0.001,0.002,-0.011,0.011,0.017,0.015,21,151,88,2,CT2,5,151,,,0,0,0,1,0,1,0,0,0.077,0.060,0.040,0.020,0.854,1
88,CT,Connecticut,9,1990,CT1990,0.532,0.3,52.6,53.9,0.567,0.596,0.031,0.006,0.019,0.043,0.031,0.002,0.001,0.033,0.056,0.035,32,151,90,2,CT2,5,151,,,0,0,0,1,0,1,0,0,0.079,0.065,0.046,0.020,0.870,1
89,CT,Connecticut,9,1992,CT1992,0.504,0.2,50.1,50.7,0.472,0.424,-0.084,0.003,-0.090,-0.077,0.084,-0.027,0.031,-0.086,-0.089,-0.032,9,151,64,3,CT3,5,151,Y,,1,1,0,0,0,0,0,1,0.081,0.071,0.060,0.026,0.871,0
90,CT,Connecticut,9,1994,CT1994,0.498,0.3,49.2,50.5,0.501,0.503,0.007,0.007,-0.006,0.020,0.007,-0.027,-0.084,0.011,0.010,0.002,24,151,76,3,CT3,5,151,Y,,0,1,0,0,0,0,0,1,0.082,0.077,0.066,0.033,0.873,0
91,CT,Connecticut,9,1996,CT1996,0.588,0.3,58.1,59.4,0.619,0.636,-0.039,0.007,-0.052,-0.026,0.039,-0.027,0.007,-0.017,0.056,0.031,41,151,96,3,CT3,5,151,,,0,1,0,0,0,0,0,1,0.084,0.082,0.073,0.033,0.874,0
92,CT,Connecticut,9,1998,CT1998,0.562,0.4,55.4,56.9,0.586,0.629,0.005,0.008,-0.010,0.021,0.005,-0.027,-0.039,0.008,0.063,0.024,44,151,95,3,CT3,5,151,,,0,1,0,0,0,0,0,1,0.085,0.088,0.073,0.033,0.876,0
93,CT,Connecticut,9,2000,CT2000,0.589,0.4,58.1,59.7,0.619,0.656,-0.023,0.008,-0.038,-0.006,0.023,-0.027,0.005,0.012,0.056,0.030,61,151,99,3,CT3,5,151,,,0,1,0,0,0,0,0,1,0.087,0.094,0.066,0.033,0.877,0
94,CT,Connecticut,9,2002,CT2002,0.560,0.4,55.2,56.8,0.579,0.623,0.002,0.008,-0.013,0.018,0.002,-0.001,-0.023,0.002,0.036,0.019,50,151,94,4,CT4,5,151,,,1,1,0,0,0,0,0,1,0.088,0.102,0.066,0.033,0.878,0
95,CT,Connecticut,9,2004,CT2004,0.586,0.4,57.8,59.3,0.602,0.662,-0.009,0.008,-0.024,0.006,0.009,-0.001,0.002,0.017,0.050,0.016,61,151,100,4,CT4,5,151,,,0,1,0,0,0,0,0,1,0.090,0.110,0.066,0.040,0.878,0
96,CT,Connecticut,9,2006,CT2006,0.612,0.5,60.3,62.1,0.649,0.702,-0.022,0.010,-0.040,-0.003,0.022,-0.001,-0.009,-0.014,0.050,0.037,61,151,106,4,CT4,5,151,,,0,1,0,0,0,0,0,1,0.091,0.118,0.066,0.040,0.879,0
