state,year,code,plan,eg_adj_avg,eg_avg_percentrank,bias_avg,bias_avg_percentrank,mmd_avg,mmd_avg_percentrank,wasted_dem_plan,wasted_rep_plan,votes_dem_plan,votes_twop_plan,seats_plan,seats_dem_plan,seats_r_plan
GA,2016,GA2016,GA5,-0.094,0.775,-0.146,0.884,-0.078,0.920,4186671,2897108,6510528,14167557,56,18,38
GA,2018,GA2018,GA5,-0.094,0.775,-0.146,0.884,-0.078,0.920,4186671,2897108,6510528,14167557,56,18,38
IL,1972,IL1972,IL1,-0.041,0.457,-0.078,0.645,-0.077,0.906,5500519,4062248,9554987,19125535,120,56,64
IL,1974,IL1974,IL1,-0.041,0.457,-0.078,0.645,-0.077,0.906,5500519,4062248,9554987,19125535,120,56,64
IL,1976,IL1976,IL1,-0.041,0.457,-0.078,0.645,-0.077,0.906,5500519,4062248,9554987,19125535,120,56,64
IL,1978,IL1978,IL1,-0.041,0.457,-0.078,0.645,-0.077,0.906,5500519,4062248,9554987,19125535,120,56,64
IL,1980,IL1980,IL1,-0.041,0.457,-0.078,0.645,-0.077,0.906,5500519,4062248,9554987,19125535,120,56,64
IL,1982,IL1982,IL2,0.022,0.246,0.023,0.232,0.024,0.341,4456469,4913907,10134476,18740753,110,67,43
IL,1984,IL1984,IL2,0.022,0.246,0.023,0.232,0.024,0.341,4456469,4913907,10134476,18740753,110,67,43
IL,1986,IL1986,IL2,0.022,0.246,0.023,0.232,0.024,0.341,4456469,4913907,10134476,18740753,110,67,43
IL,1988,IL1988,IL2,0.022,0.246,0.023,0.232,0.024,0.341,4456469,4913907,10134476,18740753,110,67,43
IL,1990,IL1990,IL2,0.022,0.246,0.023,0.232,0.024,0.341,4456469,4913907,10134476,18740753,110,67,43
IL,1992,IL1992,IL3,-0.040,0.442,-0.021,0.210,-0.036,0.514,5664357,4105203,10438853,19539119,100,52,48
IL,1994,IL1994,IL3,-0.040,0.442,-0.021,0.210,-0.036,0.514,5664357,4105203,10438853,19539119,100,52,48
IL,1996,IL1996,IL3,-0.040,0.442,-0.021,0.210,-0.036,0.514,5664357,4105203,10438853,19539119,100,52,48
IL,1998,IL1998,IL3,-0.040,0.442,-0.021,0.210,-0.036,0.514,5664357,4105203,10438853,19539119,100,52,48
IL,2000,IL2000,IL3,-0.040,0.442,-0.021,0.210,-0.036,0.514,5664357,4105203,10438853,19539119,100,52,48
IL,2002,IL2002,IL4,-0.070,0.652,-0.040,0.384,-0.051,0.688,6339111,3911620,11308509,20501463,95,50,45
IL,2004,IL2004,IL4,-0.070,0.652,-0.040,0.384,-0.051,0.688,6339111,3911620,11308509,20501463,95,50,45
IL,2006,IL2006,IL4,-0.070,0.652,-0.040,0.384,-0.051,0.688,6339111,3911620,11308509,20501463,95,50,45
IL,2008,IL2008,IL4,-0.070,0.652,-0.040,0.384,-0.051,0.688,6339111,3911620,11308509,20501463,95,50,45
IL,2010,IL2010,IL4,-0.070,0.652,-0.040,0.384,-0.051,0.688,6339111,3911620,11308509,20501463,95,50,45
IL,2012,IL2012,IL5,0.026,0.304,0.014,0.152,0.013,0.181,4632695,4530884,10225056,18327158,72,46,26
IL,2014,IL2014,IL5,0.026,0.304,0.014,0.152,0.013,0.181,4632695,4530884,10225056,18327158,72,46,26
IL,2016,IL2016,IL5,0.026,0.304,0.014,0.152,0.013,0.181,4632695,4530884,10225056,18327158,72,46,26
IL,2018,IL2018,IL5,0.026,0.304,0.014,0.152,0.013,0.181,4632695,4530884,10225056,18327158,72,46,26
IN,1972,IN1972,IN1,0.087,0.746,-0.002,0.043,0.000,0.014,2087316,2726341,4944664,9627314,55,34,21
IN,1974,IN1974,IN1,0.087,0.746,-0.002,0.043,0.000,0.014,2087316,2726341,4944664,9627314,55,34,21
IN,1976,IN1976,IN1,0.087,0.746,-0.002,0.043,0.000,0.014,2087316,2726341,4944664,9627314,55,34,21
IN,1978,IN1978,IN1,0.087,0.746,-0.002,0.043,0.000,0.014,2087316,2726341,4944664,9627314,55,34,21
IN,1980,IN1980,IN1,0.087,0.746,-0.002,0.043,0.000,0.014,2087316,2726341,4944664,9627314,55,34,21
IN,1982,IN1982,IN2,0.104,0.819,0.031,0.290,0.012,0.159,1876737,2690183,4617993,9133839,50,31,19
IN,1984,IN1984,IN2,0.104,0.819,0.031,0.290,0.012,0.159,1876737,2690183,4617993,9133839,50,31,19
IN,1986,IN1986,IN2,0.104,0.819,0.031,0.290,0.012,0.159,1876737,2690183,4617993,9133839,50,31,19
IN,1988,IN1988,IN2,0.104,0.819,0.031,0.290,0.012,0.159,1876737,2690183,4617993,9133839,50,31,19
IN,1990,IN1990,IN2,0.104,0.819,0.031,0.290,0.012,0.159,1876737,2690183,4617993,9133839,50,31,19
IN,1992,IN1992,IN3,0.028,0.326,0.020,0.181,0.000,0.029,2341929,2365931,4430731,9415718,50,23,27
IN,1994,IN1994,IN3,0.028,0.326,0.020,0.181,0.000,0.029,2341929,2365931,4430731,9415718,50,23,27
IN,1996,IN1996,IN3,0.028,0.326,0.020,0.181,0.000,0.029,2341929,2365931,4430731,9415718,50,23,27
IN,1998,IN1998,IN3,0.028,0.326,0.020,0.181,0.000,0.029,2341929,2365931,4430731,9415718,50,23,27
IN,2000,IN2000,IN3,0.028,0.326,0.020,0.181,0.000,0.029,2341929,2365931,4430731,9415718,50,23,27
IN,2002,IN2002,IN4,-0.014,0.188,0.001,0.029,0.025,0.377,2654399,2239600,4520571,9787997,45,18,27
IN,2004,IN2004,IN4,-0.014,0.188,0.001,0.029,0.025,0.377,2654399,2239600,4520571,9787997,45,18,27
IN,2006,IN2006,IN4,-0.014,0.188,0.001,0.029,0.025,0.377,2654399,2239600,4520571,9787997,45,18,27
IN,2008,IN2008,IN4,-0.014,0.188,0.001,0.029,0.025,0.377,2654399,2239600,4520571,9787997,45,18,27
IN,2010,IN2010,IN4,-0.014,0.188,0.001,0.029,0.025,0.377,2654399,2239600,4520571,9787997,45,18,27
IN,2012,IN2012,IN5,-0.121,0.862,-0.146,0.891,-0.028,0.420,2771285,1530541,3661363,8603652,36,8,28
IN,2014,IN2014,IN5,-0.121,0.862,-0.146,0.891,-0.028,0.420,2771285,1530541,3661363,8603652,36,8,28
IN,2016,IN2016,IN5,-0.121,0.862,-0.146,0.891,-0.028,0.420,2771285,1530541,3661363,8603652,36,8,28
IN,2018,IN2018,IN5,-0.121,0.862,-0.146,0.891,-0.028,0.420,2771285,1530541,3661363,8603652,36,8,28
KY,1972,KY1972,KY1,0.048,0.500,0.116,0.775,0.079,0.935,1036333,1058320,2309550,4189307,35,23,12
KY,1974,KY1974,KY1,0.048,0.500,0.116,0.775,0.079,0.935,1036333,1058320,2309550,4189307,35,23,12
KY,1976,KY1976,KY1,0.048,0.500,0.116,0.775,0.079,0.935,1036333,1058320,2309550,4189307,35,23,12
KY,1978,KY1978,KY1,0.048,0.500,0.116,0.775,0.079,0.935,1036333,1058320,2309550,4189307,35,23,12
KY,1980,KY1980,KY1,0.048,0.500,0.116,0.775,0.079,0.935,1036333,1058320,2309550,4189307,35,23,12
KY,1982,KY1982,KY2,0.014,0.196,0.061,0.529,0.077,0.913,1084063,1115064,2296629,4398253,35,20,15
KY,1984,KY1984,KY2,0.014,0.196,0.061,0.529,0.077,0.913,1084063,1115064,2296629,4398253,35,20,15
KY,1986,KY1986,KY2,0.014,0.196,0.061,0.529,0.077,0.913,1084063,1115064,2296629,4398253,35,20,15
KY,1988,KY1988,KY2,0.014,0.196,0.061,0.529,0.077,0.913,1084063,1115064,2296629,4398253,35,20,15
KY,1990,KY1990,KY2,0.014,0.196,0.061,0.529,0.077,0.913,1084063,1115064,2296629,4398253,35,20,15
MA,1972,MA1972,MA1,0.094,0.768,0.127,0.855,0.069,0.819,1982374,2861606,5942400,9778279,60,49,11
MA,1974,MA1974,MA1,0.094,0.768,0.127,0.855,0.069,0.819,1982374,2861606,5942400,9778279,60,49,11
MA,1976,MA1976,MA1,0.094,0.768,0.127,0.855,0.069,0.819,1982374,2861606,5942400,9778279,60,49,11
MA,1978,MA1978,MA1,0.094,0.768,0.127,0.855,0.069,0.819,1982374,2861606,5942400,9778279,60,49,11
MA,1980,MA1980,MA1,0.094,0.768,0.127,0.855,0.069,0.819,1982374,2861606,5942400,9778279,60,49,11
MA,1982,MA1982,MA2,0.137,0.906,0.166,0.928,0.037,0.536,1808627,3180932,6427575,9979117,55,51,4
MA,1984,MA1984,MA2,0.137,0.906,0.166,0.928,0.037,0.536,1808627,3180932,6427575,9979117,55,51,4
MA,1986,MA1986,MA2,0.137,0.906,0.166,0.928,0.037,0.536,1808627,3180932,6427575,9979117,55,51,4
MA,1988,MA1988,MA2,0.137,0.906,0.166,0.928,0.037,0.536,1808627,3180932,6427575,9979117,55,51,4
MA,1990,MA1990,MA2,0.137,0.906,0.166,0.928,0.037,0.536,1808627,3180932,6427575,9979117,55,51,4
MA,1992,MA1992,MA3,0.086,0.739,0.045,0.435,0.021,0.297,2278293,3095243,7161626,10747072,50,46,4
MA,1994,MA1994,MA3,0.086,0.739,0.045,0.435,0.021,0.297,2278293,3095243,7161626,10747072,50,46,4
MA,1996,MA1996,MA3,0.086,0.739,0.045,0.435,0.021,0.297,2278293,3095243,7161626,10747072,50,46,4
MA,1998,MA1998,MA3,0.086,0.739,0.045,0.435,0.021,0.297,2278293,3095243,7161626,10747072,50,46,4
MA,2000,MA2000,MA3,0.086,0.739,0.045,0.435,0.021,0.297,2278293,3095243,7161626,10747072,50,46,4
MA,2002,MA2002,MA4,0.109,0.848,-0.055,0.500,-0.013,0.188,2135560,3304180,7575300,10879479,50,50,0
MA,2004,MA2004,MA4,0.109,0.848,-0.055,0.500,-0.013,0.188,2135560,3304180,7575300,10879479,50,50,0
MA,2006,MA2006,MA4,0.109,0.848,-0.055,0.500,-0.013,0.188,2135560,3304180,7575300,10879479,50,50,0
MA,2008,MA2008,MA4,0.109,0.848,-0.055,0.500,-0.013,0.188,2135560,3304180,7575300,10879479,50,50,0
