district,year,plan,winner,winner_plan
15,1980,CA1.1,D,D
16,1980,CA1.1,D,X
17,1980,CA1.1,R,X
18,1980,CA1.1,R,R
19,1980,CA1.1,R,R
20,1980,CA1.1,R,R
21,1980,CA1.1,R,X
22,1980,CA1.1,R,R
23,1980,CA1.1,D,D
24,1980,CA1.1,D,D
25,1980,CA1.1,D,D
26,1980,CA1.1,R,R
27,1980,CA1.1,R,R
28,1980,CA1.1,D,D
29,1980,CA1.1,D,D
30,1980,CA1.1,D,D
31,1980,CA1.1,D,D
32,1980,CA1.1,D,D
33,1980,CA1.1,R,R
34,1980,CA1.1,R,X
35,1980,CA1.1,R,X
36,1980,CA1.1,D,D
37,1980,CA1.1,R,R
38,1980,CA1.1,D,D
39,1980,CA1.1,R,R
40,1980,CA1.1,R,R
41,1980,CA1.1,R,R
42,1980,CA1.1,R,X
43,1980,CA1.1,R,R
1,1982,CA2,D,D
2,1982,CA2,R,R
3,1982,CA2,D,D
4,1982,CA2,D,D
5,1982,CA2,D,D
6,1982,CA2,D,D
7,1982,CA2,D,D
8,1982,CA2,D,D
9,1982,CA2,D,D
10,1982,CA2,D,D
11,1982,CA2,D,D
12,1982,CA2,R,R
13,1982,CA2,D,D
14,1982,CA2,R,R
15,1982,CA2,D,D
16,1982,CA2,D,D
17,1982,CA2,R,R
18,1982,CA2,D,D
19,1982,CA2,R,R
20,1982,CA2,R,R
21,1982,CA2,R,R
22,1982,CA2,R,R
23,1982,CA2,D,D
24,1982,CA2,D,D
25,1982,CA2,D,D
26,1982,CA2,D,D
27,1982,CA2,D,D
28,1982,CA2,D,D
29,1982,CA2,D,D
30,1982,CA2,D,D
31,1982,CA2,D,D
32,1982,CA2,D,D
33,1982,CA2,R,R
34,1982,CA2,D,D
35,1982,CA2,R,R
36,1982,CA2,D,D
37,1982,CA2,R,R
38,1982,CA2,D,D
39,1982,CA2,R,R
40,1982,CA2,R,R
41,1982,CA2,R,R
42,1982,CA2,R,R
43,1982,CA2,R,R
44,1982,CA2,D,D
45,1982,CA2,R,R
1,1984,CA2.1,D,X
2,1984,CA2.1,R,R
3,1984,CA2.1,D,D
4,1984,CA2.1,D,D
5,1984,CA2.1,D,D
6,1984,CA2.1,D,D
7,1984,CA2.1,D,D
8,1984,CA2.1,D,D
9,1984,CA2.1,D,D
10,1984,CA2.1,D,D
11,1984,CA2.1,D,D
12,1984,CA2.1,R,R
13,1984,CA2.1,D,D
14,1984,CA2.1,R,R
15,1984,CA2.1,D,D
16,1984,CA2.1,D,D
17,1984,CA2.1,R,X
18,1984,CA2.1,D,D
19,1984,CA2.1,R,R
20,1984,CA2.1,R,R
21,1984,CA2.1,R,R
22,1984,CA2.1,R,R
23,1984,CA2.1,D,D
24,1984,CA2.1,D,D
25,1984,CA2.1,D,D
26,1984,CA2.1,D,D
27,1984,CA2.1,D,D
28,1984,CA2.1,D,D
29,1984,CA2.1,D,D
30,1984,CA2.1,D,D
31,1984,CA2.1,D,D
32,1984,CA2.1,D,D
33,1984,CA2.1,R,R
34,1984,CA2.1,D,D
35,1984,CA2.1,R,R
36,1984,CA2.1,D,D
37,1984,CA2.1,R,R
38,1984,CA2.1,R,R
39,1984,CA2.1,R,R
40,1984,CA2.1,R,R
41,1984,CA2.1,R,R
42,1984,CA2.1,R,R
43,1984,CA2.1,R,R
44,1984,CA2.1,D,X
45,1984,CA2.1,R,R
1,1986,CA2.1,D,X
2,1986,CA2.1,R,R
3,1986,CA2.1,D,D
4,1986,CA2.1,D,D
5,1986,CA2.1,D,D
6,1986,CA2.1,D,D
7,1986,CA2.1,D,D
8,1986,CA2.1,D,D
9,1986,CA2.1,D,D
10,1986,CA2.1,D,D
11,1986,CA2.1,D,D
12,1986,CA2.1,R,R
13,1986,CA2.1,D,D
14,1986,CA2.1,R,R
15,1986,CA2.1,D,D
16,1986,CA2.1,D,D
17,1986,CA2.1,R,X
18,1986,CA2.1,D,D
19,1986,CA2.1,R,R
20,1986,CA2.1,R,R
21,1986,CA2.1,R,R
22,1986,CA2.1,R,R
23,1986,CA2.1,D,D
24,1986,CA2.1,D,D
25,1986,CA2.1,D,D
26,1986,CA2.1,D,D
27,1986,CA2.1,D,D
28,1986,CA2.1,D,D
29,1986,CA2.1,D,D
30,1986,CA2.1,D,D
31,1986,CA2.1,D,D
32,1986,CA2.1,D,D
33,1986,CA2.1,R,R
34,1986,CA2.1,D,D
35,1986,CA2.1,R,R
36,1986,CA2.1,D,D
37,1986,CA2.1,R,R
38,1986,CA2.1,R,R
39,1986,CA2.1,R,R
40,1986,CA2.1,R,R
41,1986,CA2.1,R,R
42,1986,CA2.1,R,R
43,1986,CA2.1,R,R
44,1986,CA2.1,D,X
45,1986,CA2.1,R,R
1,1988,CA2.1,D,X
2,1988,CA2.1,R,R
3,1988,CA2.1,D,D
4,1988,CA2.1,D,D
5,1988,CA2.1,D,D
6,1988,CA2.1,D,D
7,1988,CA2.1,D,D
8,1988,CA2.1,D,D
9,1988,CA2.1,D,D
10,1988,CA2.1,D,D
11,1988,CA2.1,D,D
12,1988,CA2.1,R,R
13,1988,CA2.1,D,D
14,1988,CA2.1,R,R
15,1988,CA2.1,D,D
16,1988,CA2.1,D,D
17,1988,CA2.1,R,X
18,1988,CA2.1,D,D
19,1988,CA2.1,R,R
20,1988,CA2.1,R,R
21,1988,CA2.1,R,R
22,1988,CA2.1,R,R
23,1988,CA2.1,D,D
24,1988,CA2.1,D,D
25,1988,CA2.1,D,D
26,1988,CA2.1,D,D
27,1988,CA2.1,D,D
28,1988,CA2.1,D,D
29,1988,CA2.1,D,D
30,1988,CA2.1,D,D
31,1988,CA2.1,D,D
32,1988,CA2.1,D,D
33,1988,CA2.1,R,R
34,1988,CA2.1,D,D
35,1988,CA2.1,R,R
36,1988,CA2.1,D,D
37,1988,CA2.1,R,R
38,1988,CA2.1,R,R
39,1988,CA2.1,R,R
40,1988,CA2.1,R,R
41,1988,CA2.1,R,R
42,1988,CA2.1,R,R
43,1988,CA2.1,R,R
44,1988,CA2.1,D,X
45,1988,CA2.1,R,R
1,1990,CA2.1,R,X
2,1990,CA2.1,R,R
3,1990,CA2.1,D,D
4,1990,CA2.1,D,D
5,1990,CA2.1,D,D
6,1990,CA2.1,D,D
7,1990,CA2.1,D,D
8,1990,CA2.1,D,D
9,1990,CA2.1,D,D
10,1990,CA2.1,D,D
11,1990,CA2.1,D,D
12,1990,CA2.1,R,R
13,1990,CA2.1,D,D
14,1990,CA2.1,R,R
15,1990,CA2.1,D,D
16,1990,CA2.1,D,D
17,1990,CA2.1,D,X
18,1990,CA2.1,D,D
19,1990,CA2.1,R,R
20,1990,CA2.1,R,R
21,1990,CA2.1,R,R
22,1990,CA2.1,R,R
23,1990,CA2.1,D,D
24,1990,CA2.1,D,D
25,1990,CA2.1,D,D
26,1990,CA2.1,D,D
27,1990,CA2.1,D,D
28,1990,CA2.1,D,D
29,1990,CA2.1,D,D
30,1990,CA2.1,D,D
31,1990,CA2.1,D,D
32,1990,CA2.1,D,D
33,1990,CA2.1,R,R
34,1990,CA2.1,D,D
35,1990,CA2.1,R,R
36,1990,CA2.1,D,D
37,1990,CA2.1,R,R
38,1990,CA2.1,R,R
39,1990,CA2.1,R,R
40,1990,CA2.1,R,R
41,1990,CA2.1,R,R
42,1990,CA2.1,R,R
43,1990,CA2.1,R,R
44,1990,CA2.1,R,X
45,1990,CA2.1,R,R
1,1992,CA3,D,X
2,1992,CA3,R,R
3,1992,CA3,D,X
4,1992,CA3,R,R
5,1992,CA3,D,D
6,1992,CA3,D,D
7,1992,CA3,D,D
8,1992,CA3,D,D
9,1992,CA3,D,D
10,1992,CA3,R,X
11,1992,CA3,R,R
12,1992,CA3,D,D
13,1992,CA3,D,D
14,1992,CA3,D,D
15,1992,CA3,D,X
16,1992,CA3,D,D
17,1992,CA3,D,D
18,1992,CA3,D,D
19,1992,CA3,D,X
20,1992,CA3,D,D
21,1992,CA3,R,R
22,1992,CA3,R,X
23,1992,CA3,R,R
24,1992,CA3,D,D
25,1992,CA3,R,R
26,1992,CA3,D,D
27,1992,CA3,R,X
28,1992,CA3,R,R
29,1992,CA3,D,D
30,1992,CA3,D,D
31,1992,CA3,D,D
32,1992,CA3,D,D
33,1992,CA3,D,D
34,1992,CA3,D,D
35,1992,CA3,D,D
36,1992,CA3,D,X
37,1992,CA3,D,D
38,1992,CA3,R,R
39,1992,CA3,R,R
40,1992,CA3,R,R
41,1992,CA3,R,R
42,1992,CA3,D,D
43,1992,CA3,R,R
44,1992,CA3,R,R
45,1992,CA3,R,R
46,1992,CA3,R,X
47,1992,CA3,R,R
48,1992,CA3,R,R
49,1992,CA3,D,X
50,1992,CA3,D,D
51,1992,CA3,R,R
52,1992,CA3,R,R
1,1994,CA3,R,X
2,1994,CA3,R,R
3,1994,CA3,D,X
4,1994,CA3,R,R
5,1994,CA3,D,D
6,1994,CA3,D,D
7,1994,CA3,D,D
8,1994,CA3,D,D
9,1994,CA3,D,D
10,1994,CA3,R,X
11,1994,CA3,R,R
12,1994,CA3,D,D
13,1994,CA3,D,D
14,1994,CA3,D,D
15,1994,CA3,D,X
16,1994,CA3,D,D
17,1994,CA3,D,D
18,1994,CA3,D,D
19,1994,CA3,R,X
20,1994,CA3,D,D
