district,year,plan,winner,winner_plan
11,1972,IL1,D,D
12,1972,IL1,R,R
13,1972,IL1,R,R
14,1972,IL1,R,R
15,1972,IL1,R,X
16,1972,IL1,R,R
17,1972,IL1,R,R
18,1972,IL1,R,R
19,1972,IL1,R,R
20,1972,IL1,R,R
21,1972,IL1,R,R
22,1972,IL1,D,X
23,1972,IL1,D,D
24,1972,IL1,D,D
1,1974,IL1,D,D
2,1974,IL1,D,D
3,1974,IL1,D,X
4,1974,IL1,R,R
5,1974,IL1,D,D
6,1974,IL1,R,R
7,1974,IL1,D,D
8,1974,IL1,D,D
9,1974,IL1,D,D
10,1974,IL1,D,X
11,1974,IL1,D,D
12,1974,IL1,R,R
13,1974,IL1,R,R
14,1974,IL1,R,R
15,1974,IL1,D,X
16,1974,IL1,R,R
17,1974,IL1,R,R
18,1974,IL1,R,R
19,1974,IL1,R,R
20,1974,IL1,R,R
21,1974,IL1,R,R
22,1974,IL1,D,X
23,1974,IL1,D,D
24,1974,IL1,D,D
1,1976,IL1,D,D
2,1976,IL1,D,D
3,1976,IL1,D,X
4,1976,IL1,R,R
5,1976,IL1,D,D
6,1976,IL1,R,R
7,1976,IL1,D,D
8,1976,IL1,D,D
9,1976,IL1,D,D
10,1976,IL1,D,X
11,1976,IL1,D,D
12,1976,IL1,R,R
13,1976,IL1,R,R
14,1976,IL1,R,R
15,1976,IL1,R,X
16,1976,IL1,R,R
17,1976,IL1,R,R
18,1976,IL1,R,R
19,1976,IL1,R,R
20,1976,IL1,R,R
21,1976,IL1,R,R
22,1976,IL1,D,X
23,1976,IL1,D,D
24,1976,IL1,D,D
1,1978,IL1,D,D
2,1978,IL1,D,D
3,1978,IL1,D,X
4,1978,IL1,R,R
5,1978,IL1,D,D
6,1978,IL1,R,R
7,1978,IL1,D,D
8,1978,IL1,D,D
9,1978,IL1,D,D
10,1978,IL1,D,X
11,1978,IL1,D,D
12,1978,IL1,R,R
13,1978,IL1,R,R
14,1978,IL1,R,R
15,1978,IL1,R,X
16,1978,IL1,R,R
17,1978,IL1,R,R
18,1978,IL1,R,R
19,1978,IL1,R,R
20,1978,IL1,R,R
21,1978,IL1,R,R
22,1978,IL1,R,X
23,1978,IL1,D,D
24,1978,IL1,D,D
1,1980,IL1,D,D
2,1980,IL1,D,D
3,1980,IL1,D,X
4,1980,IL1,R,R
5,1980,IL1,D,D
6,1980,IL1,R,R
7,1980,IL1,D,D
8,1980,IL1,D,D
9,1980,IL1,D,D
10,1980,IL1,R,X
11,1980,IL1,D,D
12,1980,IL1,R,R
13,1980,IL1,R,R
14,1980,IL1,R,R
15,1980,IL1,R,X
16,1980,IL1,R,R
17,1980,IL1,R,R
18,1980,IL1,R,R
19,1980,IL1,R,R
20,1980,IL1,R,R
21,1980,IL1,R,R
22,1980,IL1,R,X
23,1980,IL1,D,D
24,1980,IL1,D,D
1,1982,IL2,D,D
2,1982,IL2,D,D
3,1982,IL2,D,D
4,1982,IL2,R,X
5,1982,IL2,D,D
6,1982,IL2,R,R
7,1982,IL2,D,D
8,1982,IL2,D,D
9,1982,IL2,D,D
10,1982,IL2,R,R
11,1982,IL2,D,D
12,1982,IL2,R,R
13,1982,IL2,R,R
14,1982,IL2,R,R
15,1982,IL2,R,R
16,1982,IL2,R,X
17,1982,IL2,D,D
18,1982,IL2,R,R
19,1982,IL2,R,X
20,1982,IL2,D,D
21,1982,IL2,D,D
22,1982,IL2,D,D
1,1984,IL2,D,D
2,1984,IL2,D,D
3,1984,IL2,D,D
4,1984,IL2,R,X
5,1984,IL2,D,D
6,1984,IL2,R,R
7,1984,IL2,D,D
8,1984,IL2,D,D
9,1984,IL2,D,D
10,1984,IL2,R,R
11,1984,IL2,D,D
12,1984,IL2,R,R
13,1984,IL2,R,R
14,1984,IL2,R,R
15,1984,IL2,R,R
16,1984,IL2,R,X
17,1984,IL2,D,D
18,1984,IL2,R,R
19,1984,IL2,D,X
20,1984,IL2,D,D
21,1984,IL2,D,D
22,1984,IL2,D,D
1,1986,IL2,D,D
2,1986,IL2,D,D
3,1986,IL2,D,D
4,1986,IL2,R,X
5,1986,IL2,D,D
6,1986,IL2,R,R
7,1986,IL2,D,D
8,1986,IL2,D,D
9,1986,IL2,D,D
10,1986,IL2,R,R
11,1986,IL2,D,D
12,1986,IL2,R,R
13,1986,IL2,R,R
14,1986,IL2,R,R
15,1986,IL2,R,R
16,1986,IL2,R,X
17,1986,IL2,D,D
18,1986,IL2,R,R
19,1986,IL2,D,X
20,1986,IL2,D,D
21,1986,IL2,D,D
22,1986,IL2,D,D
1,1988,IL2,D,D
2,1988,IL2,D,D
3,1988,IL2,D,D
4,1988,IL2,D,X
5,1988,IL2,D,D
6,1988,IL2,R,R
7,1988,IL2,D,D
8,1988,IL2,D,D
9,1988,IL2,D,D
10,1988,IL2,R,R
11,1988,IL2,D,D
12,1988,IL2,R,R
13,1988,IL2,R,R
14,1988,IL2,R,R
15,1988,IL2,R,R
16,1988,IL2,R,X
17,1988,IL2,D,D
18,1988,IL2,R,R
19,1988,IL2,D,X
20,1988,IL2,D,D
21,1988,IL2,D,D
22,1988,IL2,D,D
1,1990,IL2,D,D
2,1990,IL2,D,D
3,1990,IL2,D,D
4,1990,IL2,D,X
5,1990,IL2,D,D
6,1990,IL2,R,R
7,1990,IL2,D,D
8,1990,IL2,D,D
9,1990,IL2,D,D
10,1990,IL2,R,R
11,1990,IL2,D,D
12,1990,IL2,R,R
13,1990,IL2,R,R
14,1990,IL2,R,R
15,1990,IL2,R,R
16,1990,IL2,D,X
17,1990,IL2,D,D
18,1990,IL2,R,R
19,1990,IL2,D,X
20,1990,IL2,D,D
21,1990,IL2,D,D
22,1990,IL2,D,D
1,1992,IL3,D,D
2,1992,IL3,D,D
3,1992,IL3,D,D
4,1992,IL3,D,D
5,1992,IL3,D,X
6,1992,IL3,R,R
7,1992,IL3,D,D
8,1992,IL3,R,R
9,1992,IL3,D,D
10,1992,IL3,R,R
11,1992,IL3,D,X
12,1992,IL3,D,D
13,1992,IL3,R,R
14,1992,IL3,R,R
15,1992,IL3,R,R
16,1992,IL3,R,R
17,1992,IL3,D,D
18,1992,IL3,R,R
19,1992,IL3,D,D
20,1992,IL3,D,X
1,1994,IL3,D,D
2,1994,IL3,D,D
3,1994,IL3,D,D
4,1994,IL3,D,D
5,1994,IL3,R,X
6,1994,IL3,R,R
7,1994,IL3,D,D
8,1994,IL3,R,R
9,1994,IL3,D,D
10,1994,IL3,R,R
11,1994,IL3,R,X
12,1994,IL3,D,D
13,1994,IL3,R,R
14,1994,IL3,R,R
15,1994,IL3,R,R
16,1994,IL3,R,R
17,1994,IL3,D,D
18,1994,IL3,R,R
19,1994,IL3,D,D
20,1994,IL3,D,X
1,1996,IL3,D,D
2,1996,IL3,D,D
3,1996,IL3,D,D
4,1996,IL3,D,D
5,1996,IL3,D,X
6,1996,IL3,R,R
7,1996,IL3,D,D
8,1996,IL3,R,R
9,1996,IL3,D,D
10,1996,IL3,R,R
11,1996,IL3,R,X
12,1996,IL3,D,D
13,1996,IL3,R,R
14,1996,IL3,R,R
15,1996,IL3,R,R
16,1996,IL3,R,R
17,1996,IL3,D,D
18,1996,IL3,R,R
19,1996,IL3,D,D
20,1996,IL3,R,X
1,1998,IL3,D,D
2,1998,IL3,D,D
3,1998,IL3,D,D
4,1998,IL3,D,D
5,1998,IL3,D,X
6,1998,IL3,R,R
7,1998,IL3,D,D
8,1998,IL3,R,R
9,1998,IL3,D,D
10,1998,IL3,R,R
11,1998,IL3,R,X
12,1998,IL3,D,D
13,1998,IL3,R,R
14,1998,IL3,R,R
15,1998,IL3,R,R
16,1998,IL3,R,R
17,1998,IL3,D,D
18,1998,IL3,R,R
19,1998,IL3,D,D
20,1998,IL3,R,X
1,2000,IL3,D,D
2,2000,IL3,D,D
3,2000,IL3,D,D
4,2000,IL3,D,D
5,2000,IL3,D,X
6,2000,IL3,R,R
7,2000,IL3,D,D
8,2000,IL3,R,R
9,2000,IL3,D,D
10,2000,IL3,R,R
11,2000,IL3,R,X
12,2000,IL3,D,D
13,2000,IL3,R,R
14,2000,IL3,R,R
15,2000,IL3,R,R
16,2000,IL3,R,R
17,2000,IL3,D,D
18,2000,IL3,R,R
19,2000,IL3,D,D
20,2000,IL3,R,X
1,2002,IL4,D,D
2,2002,IL4,D,D
3,2002,IL4,D,D
4,2002,IL4,D,D
5,2002,IL4,D,D
6,2002,IL4,R,R
7,2002,IL4,D,D
8,2002,IL4,R,X
9,2002,IL4,D,D
10,2002,IL4,R,R
11,2002,IL4,R,X
12,2002,IL4,D,D
13,2002,IL4,R,R
14,2002,IL4,R,X
15,2002,IL4,R,R
16,2002,IL4,R,R
17,2002,IL4,D,X
18,2002,IL4,R,R
19,2002,IL4,R,R
1,2004,IL4,D,D
2,2004,IL4,D,D
3,2004,IL4,D,D
4,2004,IL4,D,D
5,2004,IL4,D,D
6,2004,IL4,R,R
7,2004,IL4,D,D
8,2004,IL4,D,X
9,2004,IL4,D,D
10,2004,IL4,R,R
11,2004,IL4,R,X
12,2004,IL4,D,D
13,2004,IL4,R,R
14,2004,IL4,R,X
15,2004,IL4,R,R
16,2004,IL4,R,R
17,2004,IL4,D,X
18,2004,IL4,R,R
19,2004,IL4,R,R
1,2006,IL4,D,D
2,2006,IL4,D,D
3,2006,IL4,D,D
4,2006,IL4,D,D
5,2006,IL4,D,D
6,2006,IL4,R,R
7,2006,IL4,D,D
8,2006,IL4,D,X
9,2006,IL4,D,D
10,2006,IL4,R,R
11,2006,IL4,R,X
12,2006,IL4,D,D
13,2006,IL4,R,R
14,2006,IL4,R,X
15,2006,IL4,R,R
16,2006,IL4,R,R
17,2006,IL4,D,X
18,2006,IL4,R,R
19,2006,IL4,R,R
1,2008,IL4,D,D
2,2008,IL4,D,D
3,2008,IL4,D,D
4,2008,IL4,D,D
5,2008,IL4,D,D
6,2008,IL4,R,R
7,2008,IL4,D,D
8,2008,IL4,D,X
9,2008,IL4,D,D
10,2008,IL4,R,R
11,2008,IL4,D,X
12,2008,IL4,D,D
13,2008,IL4,R,R
14,2008,IL4,D,X
15,2008,IL4,R,R
16,2008,IL4,R,R
17,2008,IL4,D,X
18,2008,IL4,R,R
19,2008,IL4,R,R
1,2010,IL4,D,D
2,2010,IL4,D,D
3,2010,IL4,D,D
4,2010,IL4,D,D
5,2010,IL4,D,D
6,2010,IL4,R,R
7,2010,IL4,D,D
8,2010,IL4,R,X
9,2010,IL4,D,D
10,2010,IL4,R,R
11,2010,IL4,R,X
12,2010,IL4,D,D
13,2010,IL4,R,R
14,2010,IL4,R,X
15,2010,IL4,R,R
16,2010,IL4,R,R
17,2010,IL4,R,X
18,2010,IL4,R,R
19,2010,IL4,R,R
1,2012,IL5,D,D
2,2012,IL5,D,D
3,2012,IL5,D,D
4,2012,IL5,D,D
5,2012,IL5,D,D
6,2012,IL5,R,R
7,2012,IL5,D,D
8,2012,IL5,D,D
9,2012,IL5,D,D
10,2012,IL5,D,X
11,2012,IL5,D,D
12,2012,IL5,D,X
13,2012,IL5,R,R
14,2012,IL5,R,R
15,2012,IL5,R,R
16,2012,IL5,R,R
17,2012,IL5,D,D
18,2012,IL5,R,R
1,2014,IL5,D,D
2,2014,IL5,D,D
3,2014,IL5,D,D
4,2014,IL5,D,D
5,2014,IL5,D,D
6,2014,IL5,R,R
7,2014,IL5,D,D
8,2014,IL5,D,D
9,2014,IL5,D,D
10,2014,IL5,R,X
11,2014,IL5,D,D
12,2014,IL5,R,X
13,2014,IL5,R,R
14,2014,IL5,R,R
15,2014,IL5,R,R
16,2014,IL5,R,R
17,2014,IL5,D,D
18,2014,IL5,R,R
1,2016,IL5,D,D
2,2016,IL5,D,D
3,2016,IL5,D,D
4,2016,IL5,D,D
5,2016,IL5,D,D
6,2016,IL5,R,R
7,2016,IL5,D,D
8,2016,IL5,D,D
9,2016,IL5,D,D
10,2016,IL5,D,X
11,2016,IL5,D,D
12,2016,IL5,R,X
13,2016,IL5,R,R
14,2016,IL5,R,R
15,2016,IL5,R,R
16,2016,IL5,R,R
17,2016,IL5,D,D
18,2016,IL5,R,R
1,1972,IN1,D,D
2,1972,IN1,R,X
3,1972,IN1,D,X
4,1972,IN1,D,X
5,1972,IN1,R,R
6,1972,IN1,R,X
7,1972,IN1,R,R
8,1972,IN1,R,X
9,1972,IN1,D,D
10,1972,IN1,R,X
11,1972,IN1,R,X
1,1974,IN1,D,D
2,1974,IN1,D,X
3,1974,IN1,D,X
4,1974,IN1,D,X
5,1974,IN1,R,R
6,1974,IN1,D,X
7,1974,IN1,R,R
8,1974,IN1,D,X
9,1974,IN1,D,D
10,1974,IN1,D,X
11,1974,IN1,D,X
1,1976,IN1,D,D
2,1976,IN1,D,X
3,1976,IN1,D,X
4,1976,IN1,R,X
5,1976,IN1,R,R
6,1976,IN1,D,X
7,1976,IN1,R,R
8,1976,IN1,D,X
9,1976,IN1,D,D
10,1976,IN1,D,X
11,1976,IN1,D,X
1,1978,IN1,D,D
2,1978,IN1,D,X
3,1978,IN1,D,X
4,1978,IN1,R,X
5,1978,IN1,R,R
6,1978,IN1,D,X
7,1978,IN1,R,R
8,1978,IN1,R,X
9,1978,IN1,D,D
10,1978,IN1,D,X
11,1978,IN1,D,X
1,1980,IN1,D,D
2,1980,IN1,D,X
3,1980,IN1,R,X
4,1980,IN1,R,X
5,1980,IN1,R,R
6,1980,IN1,D,X
7,1980,IN1,R,R
8,1980,IN1,R,X
9,1980,IN1,D,D
10,1980,IN1,D,X
11,1980,IN1,D,X
1,1982,IN2,D,D
2,1982,IN2,D,D
3,1982,IN2,R,X
4,1982,IN2,R,X
5,1982,IN2,R,X
6,1982,IN2,R,R
7,1982,IN2,R,R
8,1982,IN2,D,X
9,1982,IN2,D,D
10,1982,IN2,D,D
1,1984,IN2,D,D
2,1984,IN2,D,D
3,1984,IN2,R,X
4,1984,IN2,R,X
5,1984,IN2,R,X
6,1984,IN2,R,R
7,1984,IN2,R,R
8,1984,IN2,R,X
9,1984,IN2,D,D
10,1984,IN2,D,D
1,1986,IN2,D,D
2,1986,IN2,D,D
3,1986,IN2,R,X
4,1986,IN2,R,X
5,1986,IN2,D,X
6,1986,IN2,R,R
7,1986,IN2,R,R
8,1986,IN2,D,X
9,1986,IN2,D,D
10,1986,IN2,D,D
1,1988,IN2,D,D
2,1988,IN2,D,D
3,1988,IN2,R,X
4,1988,IN2,R,X
5,1988,IN2,D,X
6,1988,IN2,R,R
7,1988,IN2,R,R
8,1988,IN2,D,X
9,1988,IN2,D,D
10,1988,IN2,D,D
1,1990,IN2,D,D
2,1990,IN2,D,D
3,1990,IN2,D,X
4,1990,IN2,D,X
5,1990,IN2,D,X
6,1990,IN2,R,R
7,1990,IN2,R,R
8,1990,IN2,D,X
9,1990,IN2,D,D
10,1990,IN2,D,D
1,1992,IN3,D,D
2,1992,IN3,D,X
3,1992,IN3,D,D
4,1992,IN3,D,X
5,1992,IN3,R,R
6,1992,IN3,R,R
7,1992,IN3,R,R
8,1992,IN3,D,X
9,1992,IN3,D,D
10,1992,IN3,D,D
1,1994,IN3,D,D
2,1994,IN3,R,X
3,1994,IN3,D,D
4,1994,IN3,R,X
5,1994,IN3,R,R
6,1994,IN3,R,R
7,1994,IN3,R,R
8,1994,IN3,R,X
9,1994,IN3,D,D
10,1994,IN3,D,D
1,1996,IN3,D,D
2,1996,IN3,R,X
3,1996,IN3,D,D
4,1996,IN3,R,X
5,1996,IN3,R,R
6,1996,IN3,R,R
7,1996,IN3,R,R
8,1996,IN3,R,X
9,1996,IN3,D,D
10,1996,IN3,D,D
1,1998,IN3,D,D
2,1998,IN3,R,X
3,1998,IN3,D,D
4,1998,IN3,R,X
5,1998,IN3,R,R
6,1998,IN3,R,R
7,1998,IN3,R,R
8,1998,IN3,R,X
9,1998,IN3,D,D
10,1998,IN3,D,D
1,2000,IN3,D,D
2,2000,IN3,R,X
3,2000,IN3,D,D
4,2000,IN3,R,X
5,2000,IN3,R,R
6,2000,IN3,R,R
7,2000,IN3,R,R
8,2000,IN3,R,X
9,2000,IN3,D,D
10,2000,IN3,D,D
1,2002,IN4,D,D
2,2002,IN4,R,X
3,2002,IN4,R,R
4,2002,IN4,R,R
5,2002,IN4,R,R
6,2002,IN4,R,R
7,2002,IN4,D,D
8,2002,IN4,R,X
9,2002,IN4,D,X
1,2004,IN4,D,D
2,2004,IN4,R,X
3,2004,IN4,R,R
4,2004,IN4,R,R
5,2004,IN4,R,R
6,2004,IN4,R,R
7,2004,IN4,D,D
8,2004,IN4,R,X
9,2004,IN4,R,X
1,2006,IN4,D,D
2,2006,IN4,D,X
3,2006,IN4,R,R
4,2006,IN4,R,R
5,2006,IN4,R,R
6,2006,IN4,R,R
7,2006,IN4,D,D
8,2006,IN4,D,X
9,2006,IN4,D,X
1,2008,IN4,D,D
2,2008,IN4,D,X
3,2008,IN4,R,R
4,2008,IN4,R,R
5,2008,IN4,R,R
6,2008,IN4,R,R
7,2008,IN4,D,D
8,2008,IN4,D,X
9,2008,IN4,D,X
1,2010,IN4,D,D
2,2010,IN4,D,X
3,2010,IN4,R,R
4,2010,IN4,R,R
5,2010,IN4,R,R
6,2010,IN4,R,R
7,2010,IN4,D,D
8,2010,IN4,R,X
9,2010,IN4,R,X
1,2012,IN5,D,D
2,2012,IN5,R,R
3,2012,IN5,R,R
4,2012,IN5,R,R
5,2012,IN5,R,R
6,2012,IN5,R,R
7,2012,IN5,D,D
8,2012,IN5,R,R
9,2012,IN5,R,R
1,2014,IN5,D,D
2,2014,IN5,R,R
3,2014,IN5,R,R
4,2014,IN5,R,R
5,2014,IN5,R,R
6,2014,IN5,R,R
7,2014,IN5,D,D
8,2014,IN5,R,R
9,2014,IN5,R,R
1,2016,IN5,D,D
2,2016,IN5,R,R
3,2016,IN5,R,R
4,2016,IN5,R,R
5,2016,IN5,R,R
6,2016,IN5,R,R
7,2016,IN5,D,D
8,2016,IN5,R,R
9,2016,IN5,R,R
1,1972,KY1,D,D
2,1972,KY1,D,D
3,1972,KY1,D,D
4,1972,KY1,R,R
5,1972,KY1,R,R
6,1972,KY1,D,X
7,1972,KY1,D,D
1,1974,KY1,D,D
2,1974,KY1,D,D
3,1974,KY1,D,D
4,1974,KY1,R,R
5,1974,KY1,R,R
6,1974,KY1,D,X
7,1974,KY1,D,D
1,1976,KY1,D,D
2,1976,KY1,D,D
3,1976,KY1,D,D
4,1976,KY1,R,R
5,1976,KY1,R,R
6,1976,KY1,D,X
7,1976,KY1,D,D
1,1978,KY1,D,D
2,1978,KY1,D,D
3,1978,KY1,D,D
4,1978,KY1,R,R
5,1978,KY1,R,R
6,1978,KY1,R,X
7,1978,KY1,D,D
1,1980,KY1,D,D
2,1980,KY1,D,D
3,1980,KY1,D,D
4,1980,KY1,R,R
5,1980,KY1,R,R
6,1980,KY1,R,X
7,1980,KY1,D,D
1,1982,KY2,D,D
2,1982,KY2,D,D
3,1982,KY2,D,D
4,1982,KY2,R,R
5,1982,KY2,R,R
6,1982,KY2,R,R
7,1982,KY2,D,D
1,1984,KY2,D,D
2,1984,KY2,D,D
3,1984,KY2,D,D
4,1984,KY2,R,R
5,1984,KY2,R,R
6,1984,KY2,R,R
7,1984,KY2,D,D
1,1986,KY2,D,D
2,1986,KY2,D,D
3,1986,KY2,D,D
4,1986,KY2,R,R
5,1986,KY2,R,R
6,1986,KY2,R,R
7,1986,KY2,D,D
1,1988,KY2,D,D
2,1988,KY2,D,D
3,1988,KY2,D,D
4,1988,KY2,R,R
5,1988,KY2,R,R
6,1988,KY2,R,R
7,1988,KY2,D,D
1,1990,KY2,D,D
2,1990,KY2,D,D
3,1990,KY2,D,D
4,1990,KY2,R,R
5,1990,KY2,R,R
6,1990,KY2,R,R
7,1990,KY2,D,D
1,1972,MA1,R,R
2,1972,MA1,D,D
3,1972,MA1,D,D
4,1972,MA1,D,D
5,1972,MA1,R,X
6,1972,MA1,D,D
7,1972,MA1,D,D
8,1972,MA1,D,D
9,1972,MA1,D,D
10,1972,MA1,R,R
11,1972,MA1,D,D
12,1972,MA1,D,D
1,1974,MA1,R,R
2,1974,MA1,D,D
3,1974,MA1,D,D
4,1974,MA1,D,D
5,1974,MA1,D,X
6,1974,MA1,D,D
7,1974,MA1,D,D
8,1974,MA1,D,D
9,1974,MA1,D,D
10,1974,MA1,R,R
11,1974,MA1,D,D
12,1974,MA1,D,D
1,1976,MA1,R,R
2,1976,MA1,D,D
3,1976,MA1,D,D
4,1976,MA1,D,D
5,1976,MA1,D,X
6,1976,MA1,D,D
7,1976,MA1,D,D
8,1976,MA1,D,D
9,1976,MA1,D,D
10,1976,MA1,R,R
11,1976,MA1,D,D
12,1976,MA1,D,D
1,1978,MA1,R,R
2,1978,MA1,D,D
3,1978,MA1,D,D
4,1978,MA1,D,D
5,1978,MA1,D,X
6,1978,MA1,D,D
7,1978,MA1,D,D
8,1978,MA1,D,D
9,1978,MA1,D,D
10,1978,MA1,R,R
11,1978,MA1,D,D
12,1978,MA1,D,D
1,1980,MA1,R,R
2,1980,MA1,D,D
3,1980,MA1,D,D
4,1980,MA1,D,D
5,1980,MA1,D,X
6,1980,MA1,D,D
7,1980,MA1,D,D
8,1980,MA1,D,D
9,1980,MA1,D,D
10,1980,MA1,R,R
11,1980,MA1,D,D
12,1980,MA1,D,D
1,1982,MA2,D,X
2,1982,MA2,D,D
3,1982,MA2,D,D
4,1982,MA2,D,D
5,1982,MA2,D,D
6,1982,MA2,D,D
7,1982,MA2,D,D
8,1982,MA2,D,D
9,1982,MA2,D,D
10,1982,MA2,D,D
11,1982,MA2,D,D
1,1984,MA2,R,X
2,1984,MA2,D,D
3,1984,MA2,D,D
4,1984,MA2,D,D
5,1984,MA2,D,D
6,1984,MA2,D,D
7,1984,MA2,D,D
8,1984,MA2,D,D
9,1984,MA2,D,D
10,1984,MA2,D,D
11,1984,MA2,D,D
1,1986,MA2,R,X
2,1986,MA2,D,D
3,1986,MA2,D,D
4,1986,MA2,D,D
5,1986,MA2,D,D
6,1986,MA2,D,D
7,1986,MA2,D,D
8,1986,MA2,D,D
9,1986,MA2,D,D
10,1986,MA2,D,D
11,1986,MA2,D,D
1,1988,MA2,R,X
2,1988,MA2,D,D
3,1988,MA2,D,D
4,1988,MA2,D,D
5,1988,MA2,D,D
6,1988,MA2,D,D
7,1988,MA2,D,D
8,1988,MA2,D,D
9,1988,MA2,D,D
10,1988,MA2,D,D
11,1988,MA2,D,D
1,1990,MA2,R,X
2,1990,MA2,D,D
3,1990,MA2,D,D
4,1990,MA2,D,D
5,1990,MA2,D,D
6,1990,MA2,D,D
7,1990,MA2,D,D
8,1990,MA2,D,D
9,1990,MA2,D,D
10,1990,MA2,D,D
11,1990,MA2,D,D
1,1992,MA3,D,D
2,1992,MA3,D,D
3,1992,MA3,R,X
4,1992,MA3,D,D
5,1992,MA3,D,D
6,1992,MA3,R,X
7,1992,MA3,D,D
8,1992,MA3,D,D
9,1992,MA3,D,D
10,1992,MA3,D,D
1,1994,MA3,D,D
2,1994,MA3,D,D
3,1994,MA3,R,X
4,1994,MA3,D,D
5,1994,MA3,D,D
6,1994,MA3,R,X
7,1994,MA3,D,D
8,1994,MA3,D,D
9,1994,MA3,D,D
10,1994,MA3,D,D
1,1996,MA3,D,D
2,1996,MA3,D,D
3,1996,MA3,D,X
4,1996,MA3,D,D
5,1996,MA3,D,D
6,1996,MA3,D,X
7,1996,MA3,D,D
8,1996,MA3,D,D
9,1996,MA3,D,D
10,1996,MA3,D,D
1,1998,MA3,D,D
2,1998,MA3,D,D
3,1998,MA3,D,X
4,1998,MA3,D,D
5,1998,MA3,D,D
6,1998,MA3,D,X
7,1998,MA3,D,D
8,1998,MA3,D,D
9,1998,MA3,D,D
10,1998,MA3,D,D
1,2000,MA3,D,D
2,2000,MA3,D,D
3,2000,MA3,D,X
4,2000,MA3,D,D
5,2000,MA3,D,D
6,2000,MA3,D,X
7,2000,MA3,D,D
8,2000,MA3,D,D
9,2000,MA3,D,D
10,2000,MA3,D,D
1,2002,MA4,D,D
2,2002,MA4,D,D
3,2002,MA4,D,D
4,2002,MA4,D,D
5,2002,MA4,D,D
6,2002,MA4,D,D
7,2002,MA4,D,D
8,2002,MA4,D,D
9,2002,MA4,D,D
10,2002,MA4,D,D
1,2004,MA4,D,D
2,2004,MA4,D,D
3,2004,MA4,D,D
4,2004,MA4,D,D
5,2004,MA4,D,D
6,2004,MA4,D,D
7,2004,MA4,D,D
8,2004,MA4,D,D
9,2004,MA4,D,D
10,2004,MA4,D,D
1,2006,MA4,D,D
2,2006,MA4,D,D
3,2006,MA4,D,D
4,2006,MA4,D,D
5,2006,MA4,D,D
6,2006,MA4,D,D
7,2006,MA4,D,D
8,2006,MA4,D,D
9,2006,MA4,D,D
10,2006,MA4,D,D
1,2008,MA4,D,D
2,2008,MA4,D,D
3,2008,MA4,D,D
4,2008,MA4,D,D
5,2008,MA4,D,D
6,2008,MA4,D,D
7,2008,MA4,D,D
8,2008,MA4,D,D
9,2008,MA4,D,D
10,2008,MA4,D,D
1,2010,MA4,D,D
2,2010,MA4,D,D
3,2010,MA4,D,D
4,2010,MA4,D,D
5,2010,MA4,D,D
6,2010,MA4,D,D
7,2010,MA4,D,D
8,2010,MA4,D,D
9,2010,MA4,D,D
10,2010,MA4,D,D
1,2012,MA5,D,D
2,2012,MA5,D,D
3,2012,MA5,D,D
4,2012,MA5,D,D
5,2012,MA5,D,D
6,2012,MA5,D,D
7,2012,MA5,D,D
8,2012,MA5,D,D
9,2012,MA5,D,D
1,2014,MA5,D,D
2,2014,MA5,D,D
3,2014,MA5,D,D
4,2014,MA5,D,D
5,2014,MA5,D,D
6,2014,MA5,D,D
7,2014,MA5,D,D
8,2014,MA5,D,D
9,2014,MA5,D,D
1,2016,MA5,D,D
2,2016,MA5,D,D
3,2016,MA5,D,D
4,2016,MA5,D,D
5,2016,MA5,D,D
6,2016,MA5,D,D
7,2016,MA5,D,D
8,2016,MA5,D,D
9,2016,MA5,D,D
1,1972,MD1,R,X
2,1972,MD1,D,D
3,1972,MD1,D,D
4,1972,MD1,R,R
5,1972,MD1,R,X
6,1972,MD1,D,D
7,1972,MD1,D,D
8,1972,MD1,R,X
1,1974,MD1,R,X
2,1974,MD1,D,D
3,1974,MD1,D,D
4,1974,MD1,R,R
5,1974,MD1,D,X
6,1974,MD1,D,D
7,1974,MD1,D,D
8,1974,MD1,R,X
1,1976,MD1,R,X
2,1976,MD1,D,D
3,1976,MD1,D,D
4,1976,MD1,R,R
5,1976,MD1,D,X
6,1976,MD1,D,D
7,1976,MD1,D,D
8,1976,MD1,R,X
1,1978,MD1,R,X
2,1978,MD1,D,D
3,1978,MD1,D,D
4,1978,MD1,R,R
5,1978,MD1,D,X
6,1978,MD1,D,D
7,1978,MD1,D,D
8,1978,MD1,D,X
1,1980,MD1,D,X
2,1980,MD1,D,D
3,1980,MD1,D,D
4,1980,MD1,R,R
5,1980,MD1,D,X
6,1980,MD1,D,D
7,1980,MD1,D,D
8,1980,MD1,D,X
1,1982,MD2,D,X
2,1982,MD2,D,X
3,1982,MD2,D,D
4,1982,MD2,R,X
5,1982,MD2,D,D
6,1982,MD2,D,D
7,1982,MD2,D,D
8,1982,MD2,D,X
1,1984,MD2,D,X
2,1984,MD2,R,X
3,1984,MD2,D,D
4,1984,MD2,R,X
5,1984,MD2,D,D
6,1984,MD2,D,D
7,1984,MD2,D,D
8,1984,MD2,D,X
1,1986,MD2,D,X
2,1986,MD2,R,X
3,1986,MD2,D,D
4,1986,MD2,D,X
5,1986,MD2,D,D
6,1986,MD2,D,D
7,1986,MD2,D,D
8,1986,MD2,R,X
1,1988,MD2,D,X
2,1988,MD2,R,X
3,1988,MD2,D,D
