shape_id,county_name,precinct_id,sen_red,sen_blue,con_districts,con_contested,con_red_votes,con_blue_votes,sldu_districts,sldu_contested,sldu_red_votes,sldu_blue_votes,sldl_districts,sldl_contested,sldl_red_votes,sldl_blue_votes,population,white_pop,black_pop,asian_pop,hispanic_pop,other_pop,median_age,median_income,education_pop,school_pop,diploma_pop,college_pop,graduate_pop,area_km2,con_imputed,sldu_imputed,sldl_imputed
1399,JOHNSTON,PR22,917,341,7,Yes,999,285,1011,"No,Yes",907,394,28,No,918,370,5194,3525,595,29,998,47,36,38293,3325,666,1263,1242,155,51,No,Yes,Yes
2279,JOHNSTON,PR23A,940,382,7,Yes,1003,341,1012,Yes,592,255,28,No,953,385,3701,2889,296,18,393,106,36,63612,2353,181,934,1078,159,30,No,No,Yes
2278,JOHNSTON,PR23B,980,456,7,Yes,1015,404,12,Yes,991,486,28,No,994,452,5092,3917,407,13,607,148,35,66509,3167,231,1237,1487,211,32,No,No,Yes
1396,JOHNSTON,PR24,307,562,7,Yes,345,523,11,No,301,592,28,No,308,576,3868,1768,852,118,1061,68,42,30597,2596,771,930,771,123,30,No,Yes,Yes
1401,JOHNSTON,PR25,410,452,7,Yes,440,435,11,No,399,466,28,No,394,442,5331,1828,1448,20,1849,186,33,35986,3238,1027,966,1070,176,42,No,Yes,Yes
1395,JOHNSTON,PR26,296,666,7,Yes,333,620,1011,"No,Yes",288,702,28,No,299,687,4309,2476,1088,108,563,73,40,33078,2883,672,1260,809,142,74,No,Yes,Yes
2275,JOHNSTON,PR27A,430,411,7,Yes,471,370,11,No,427,435,26,No,425,423,1271,768,318,86,80,19,48,40422,937,197,314,353,73,8,No,Yes,Yes
2274,JOHNSTON,PR27B,557,441,7,Yes,619,392,1011,"No,Yes",548,462,26,No,553,444,4552,2927,949,10,497,170,35,52655,2860,510,1107,1114,129,35,No,Yes,Yes
2280,JOHNSTON,PR28,1020,608,7,Yes,1137,492,1011,"No,Yes",1002,662,26,No,1010,636,8066,5225,1397,62,1233,148,38,42668,5353,983,1945,2041,385,58,No,Yes,Yes
2282,JOHNSTON,PR29A,1401,640,7,Yes,1491,547,11,No,1399,659,26,No,1413,615,8156,6394,477,129,921,234,38,72583,5088,460,1587,2617,424,55,No,Yes,Yes
1409,JOHNSTON,PR29B,1786,1004,7,Yes,1881,916,11,No,1809,1035,26,No,1826,967,6252,4856,388,98,730,180,38,71986,3899,367,1215,1994,323,42,No,Yes,Yes
2281,JOHNSTON,PR30,709,524,7,Yes,771,473,1011,"No,Yes",695,547,26,No,711,531,8211,5180,1486,45,1236,264,37,54876,5406,831,2188,2136,251,52,No,Yes,Yes
